Date,City,Category,Product,Units_Sold,Unit_Price,Revenue
2024-04-12,Delhi,Personal Care,Sofa,12,837,10044
2024-12-14,Delhi,Home,Rice,18,1802,32436
2024-09-27,Mumbai,Apparel,Phone,13,1706,22178
2024-04-16,Chennai,Personal Care,Jeans,5,973,4865
2024-03-12,Delhi,Apparel,Laptop,4,665,2660
2024-07-07,Hyderabad,Groceries,Sofa,14,1368,19152
2024-01-21,Hyderabad,Groceries,Phone,8,1985,15880
2024-04-12,Bengaluru,Groceries,Rice,9,175,1575
2024-05-01,Chennai,Apparel,Shampoo,19,646,12274
2024-08-02,Delhi,Personal Care,Jeans,3,366,1098
2024-11-26,Hyderabad,Groceries,Bed,5,416,2080
2024-03-28,Chennai,Personal Care,Phone,18,1935,34830
2024-04-09,Bengaluru,Apparel,Bed,1,1244,1244
2024-12-25,Mumbai,Personal Care,Oil,8,1959,15672
2024-05-31,Chennai,Apparel,Laptop,19,124,2356
2024-05-10,Chennai,Apparel,Phone,17,1555,26435
2024-05-29,Mumbai,Home,Soap,17,259,4403
2024-11-04,Chennai,Apparel,Rice,11,695,7645
2024-09-14,Bengaluru,Apparel,Sofa,2,1237,2474
2024-12-09,Bengaluru,Electronics,Soap,6,1858,11148
2024-10-20,Mumbai,Groceries,Oil,14,999,13986
2024-07-10,Delhi,Home,Laptop,3,601,1803
2024-10-03,Hyderabad,Home,Shampoo,12,1289,15468
2024-06-09,Delhi,Home,Jeans,4,1112,4448
2024-11-09,Chennai,Electronics,Bed,12,802,9624
2024-01-22,Hyderabad,Apparel,Oil,13,1298,16874
2024-09-09,Mumbai,Groceries,Sofa,2,100,200
2024-08-23,Mumbai,Personal Care,Jeans,2,840,1680
2024-12-10,Hyderabad,Apparel,Shampoo,15,1209,18135
2024-02-18,Bengaluru,Electronics,Sofa,17,1697,28849
2024-02-28,Hyderabad,Apparel,Rice,7,419,2933
2024-06-18,Chennai,Apparel,Bed,14,1524,21336
2024-07-06,Bengaluru,Electronics,Soap,12,481,5772
2024-09-27,Mumbai,Home,Phone,17,1841,31297
2024-07-08,Hyderabad,Home,Oil,14,1740,24360
2024-06-23,Delhi,Groceries,Phone,6,1441,8646
2024-02-20,Delhi,Groceries,Jeans,19,1926,36594
2024-12-29,Chennai,Home,Phone,6,1373,8238
2024-02-24,Delhi,Personal Care,Soap,18,1648,29664
2024-08-31,Hyderabad,Apparel,T-Shirt,5,1798,8990
2024-11-15,Hyderabad,Personal Care,Jeans,6,1678,10068
2024-05-10,Delhi,Apparel,Bed,2,997,1994
2024-11-02,Hyderabad,Home,Sofa,8,1746,13968
2024-05-14,Chennai,Groceries,Bed,15,816,12240
2024-01-21,Bengaluru,Groceries,Phone,15,1379,20685
2024-11-24,Chennai,Personal Care,Laptop,11,406,4466
2024-06-15,Chennai,Groceries,Jeans,1,1267,1267
2024-09-30,Hyderabad,Home,Sofa,18,1781,32058
2024-03-29,Bengaluru,Personal Care,Shampoo,12,490,5880
2024-11-11,Hyderabad,Apparel,Rice,12,1936,23232
2024-01-14,Mumbai,Groceries,Bed,11,1799,19789
2024-08-29,Hyderabad,Electronics,Bed,8,1292,10336
2024-09-21,Hyderabad,Groceries,Jeans,7,1089,7623
2024-12-11,Hyderabad,Apparel,Laptop,2,397,794
2024-02-22,Bengaluru,Personal Care,Phone,11,332,3652
2024-12-05,Hyderabad,Apparel,Phone,10,370,3700
2024-04-01,Bengaluru,Electronics,Jeans,3,1183,3549
2024-09-20,Delhi,Home,Bed,10,1419,14190
2024-02-04,Mumbai,Groceries,Sofa,18,1590,28620
2024-07-24,Bengaluru,Personal Care,Rice,14,1358,19012
2024-03-21,Delhi,Home,Jeans,18,776,13968
2024-02-19,Bengaluru,Apparel,Sofa,8,805,6440
2024-12-25,Bengaluru,Personal Care,Sofa,10,333,3330
2024-01-02,Mumbai,Home,Shampoo,13,1491,19383
2024-02-23,Chennai,Personal Care,Soap,8,1818,14544
2024-04-15,Chennai,Electronics,T-Shirt,4,944,3776
2024-09-16,Bengaluru,Electronics,Rice,4,1355,5420
2024-11-05,Hyderabad,Groceries,Oil,5,1996,9980
2024-07-09,Delhi,Groceries,Laptop,1,590,590
